repo,username,type,name,timestamp,additions,deletions,total,message,userURL,repoURL
pride-mod,proteomics-developers,-1,proteomics-developers,2017-02-01T12:03:40Z,2,2,4,[maven-release-plugin] prepare for next development iteration,https://github.com/proteomics-developers,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,proteomics-developers,-1,proteomics-developers,2017-02-01T12:03:33Z,2,2,4,[maven-release-plugin] prepare release pride-mod-2.1.3,https://github.com/proteomics-developers,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:35:32Z,2,2,4,jaxb dependencies updated,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:34:41Z,1,63,64,plugins removed and updated,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:27:27Z,1,1,2,apache commons dependency updated,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:26:46Z,11,18,29,logging and tdd dependencies updated to use pride-logging and pride-tdd,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:18:46Z,1,19,20,Distribution management is now defined by the parent POM,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:17:50Z,0,25,25,Repositories are now defined by the parent POM,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:14:39Z,5,0,5,Property for pride logging version,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T11:13:09Z,9,0,9,parent POM added,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T10:48:14Z,10,0,10,Developer section updated,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,mbdebian,1,Manuel Bernal Llinares,2017-02-01T10:40:57Z,2,2,4,SCM section corrected,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-08-02T16:08:58Z,2,2,4,[maven-release-plugin] prepare for next development iteration,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-08-02T16:08:54Z,2,2,4,[maven-release-plugin] prepare release pride-mod-2.1.2,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-05-11T15:24:28Z,2,2,4,[maven-release-plugin] prepare for next development iteration,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-05-11T15:24:24Z,2,2,4,[maven-release-plugin] prepare release pride-mod-2.1.1,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-05-11T15:22:45Z,52,2,54,some changes and gitignore added,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-05-11T15:21:22Z,1,6,7,"Merge branch 'master' of https://github.com/PRIDE-Utilities/pride-mod
merge with previous version",https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-05-11T15:20:22Z,65,26,91,changes in the pom,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-02-29T07:25:06Z,1,6,7,"Merge pull request #2 from fcyu/patch-1

Correct repository and groupId",https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,fcyu,-1,Fengchao,2016-02-29T07:21:08Z,1,6,7,Correct repository and groupId,https://github.com/fcyu,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-02-26T10:02:58Z,6,2,8,some minor changes,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-02-25T09:17:53Z,6,1,7,some changes,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-02-24T20:55:50Z,1,1,2,some changes,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-02-24T20:54:06Z,1,1,2,some changes in the citation,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2016-02-24T11:55:31Z,68,4,72,some changes in the pride-mod to map by delta mass,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2015-10-15T13:11:36Z,22,6,28,new methods,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2015-10-14T14:39:52Z,3872,3885,7757,change the papckage names,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2015-10-14T11:02:33Z,0,1,1,changes in travis,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-mod,ypriverol,1,Yasset Perez-Riverol,2015-10-14T10:58:17Z,54,11,65,The anchor modification method is ready,https://github.com/ypriverol,https://github.com/PRIDE-Utilities/pride-mod
pride-utilities,proteomics-developers,-1,proteomics-developers,2016-12-12T14:11:19Z,2,2,4,[maven-release-plugin] prepare for next development iteration,https://github.com/proteomics-developers,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,proteomics-developers,-1,proteomics-developers,2016-12-12T14:11:14Z,2,2,4,[maven-release-plugin] prepare release pride-utilities-2.0.15,https://github.com/proteomics-developers,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,mbdebian,1,Manuel Bernal Llinares,2016-12-12T13:58:30Z,36,111,147,maven rearchitecture and Bamboo integration,https://github.com/mbdebian,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T15:07:35Z,2,2,4,[maven-release-plugin] prepare for next development iteration,https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T15:07:30Z,2,2,4,[maven-release-plugin] prepare release pride-utilities-2.0.14,https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T14:55:43Z,1,1,2,"Again, incremending version number due to bad release.",https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T14:55:09Z,1,1,2,"It's ""<id>attach-sources</id>"", plural.",https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T14:06:03Z,1,1,2,[maven-release-plugin] rollback the release of pride-utilities-2.0.13,https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T14:05:00Z,2,2,4,[maven-release-plugin] prepare for next development iteration,https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T14:04:56Z,2,2,4,[maven-release-plugin] prepare release pride-utilities-2.0.13,https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
pride-utilities,Tobias-Ternent,1,Tobias Ternent,2016-10-10T14:02:31Z,1,1,2,"Previous deployment failed, trying again with new version number.",https://github.com/Tobias-Ternent,https://github.com/PRIDE-Utilities/pride-utilities
